Año,Trimestre,Provincia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Total,Mbps (Media de bajada),,
2022,1,Buenos Aires,31591,30056,313382,321756,290127,161183,3381049,26280,4555424,62.51,,
2022,1,Capital Federal,527,5575,39918,77390,61053,43289,1188072,1717,1417541,88.22,,
2022,1,Catamarca,71,456,4386,7009,8773,3761,35715,2207,62378,51.22,,
2022,1,Chaco,461,1099,16888,21235,20898,13012,62946,7580,144119,45.84,,
2022,1,Chubut,113,1677,61369,31856,33080,13871,14055,15607,171628,13.4,,
2022,1,Córdoba,100,12782,165922,126009,73967,34892,577027,13104,1003803,49.89,,
2022,1,Corrientes,67,4029,24563,25665,27077,10452,43631,7094,142578,38.11,,
2022,1,Entre Ríos,107,5745,50075,49620,42294,21578,81757,16750,267926,35.59,,
2022,1,Formosa,97,448,24113,6945,6613,716,15028,588,54548,30.28,,
2022,1,Jujuy,58,1761,22141,16321,37923,576,35287,2442,116509,27.69,,
2022,1,La Pampa,301,2223,62812,9869,12044,5250,14400,2833,109732,14.84,,
2022,1,La Rioja,18,778,3576,4692,23624,5645,45970,0,84303,41.37,,
2022,1,Mendoza,114,3355,51230,26407,74178,21566,95048,3287,275185,26.2,,
2022,1,Misiones,51,3873,35655,22261,26855,15854,58610,8349,171508,41.87,,
2022,1,Neuquén,137,1123,39856,15623,11163,2654,71238,7885,149679,43.05,,
2022,1,Río Negro,116,1383,35565,18859,26926,14144,37729,22652,157374,31.09,,
2022,1,Salta,114,1725,35576,68246,6313,2214,76838,6489,197515,36.71,,
2022,1,San Juan,26,2269,32356,11914,25144,2088,11916,2465,88178,11.99,,
2022,1,San Luis,61,643,8287,3837,9802,68612,13,28589,119844,20.95,,
2022,1,Santa Cruz,51,6898,12710,11502,12277,2628,2551,485,49102,10.89,,
2022,1,Santa Fe,468,12435,143796,208361,84787,58018,344170,18444,870479,38.89,,
2022,1,Santiago Del Estero,178,1401,30220,61170,13542,849,8309,792,116461,14.5,,
2022,1,Tierra Del Fuego,24,894,12849,15640,18034,1767,982,2421,52611,10.73,,
2022,1,Tucumán,39,2212,36028,46961,21014,5211,133846,273,245584,47.24,,
2021,4,Buenos Aires,37821,11026,352950,331292,297296,196021,3259793,22958,4509157,60.21,,
2021,4,Capital Federal,563,1695,47133,81899,66135,66755,1147939,0,1412119,82.95,,
2021,4,Catamarca,71,0,6038,7855,9804,3262,29827,2233,59090,46.38,,
2021,4,Chaco,461,112,18845,22678,21937,13692,58435,7585,143745,42.34,,
2021,4,Chubut,126,1294,63698,39568,31175,5780,2904,15763,160308,9.08,,
2021,4,Córdoba,100,2479,184548,130892,76246,41198,538700,12607,986770,46.36,,
2021,4,Corrientes,67,645,28830,26368,22922,10087,39911,7082,135912,35.77,,
2021,4,Entre Ríos,107,3024,56043,49636,38295,24068,77290,16583,265046,33.32,,
2021,4,Formosa,84,0,22908,6983,6811,1135,13775,1967,53663,28.76,,
2021,4,Jujuy,58,175,22446,16793,38134,564,33421,2324,113915,27.14,,
