Año,Trimestre,Provincia,Accesos por cada 100 hogares,Accesos por cada 100 hab,Mbps (Media de bajada)
2019,3,La Pampa,77.45,26,5.72
2019,3,La Rioja,47.94,13,8.0
2019,3,Mendoza,40.74,11,6.11
2019,3,Misiones,39.33,11,17.93
2019,3,Neuquén,64.14,19,23.75
2019,3,Río Negro,63.42,20,15.98
2019,3,Salta,44.48,11,14.75
2019,3,San Juan,37.06,9,6.04
2019,3,San Luis,85.23,24,19.74
2019,3,Santa Cruz,35.63,11,5.02
2019,3,Santa Fe,68.87,22,18.17
2019,3,Santiago Del Estero,55.3,14,9.39
2019,3,Tierra Del Fuego,96.46,29,6.69
2019,3,Tucumán,39.49,10,19.32
2019,2,Buenos Aires,67.85,22,22.48
2019,2,Capital Federal,110.55,46,30.35
2019,2,Catamarca,32.13,8,8.81
2019,2,Chaco,34.14,9,16.01
2019,2,Chubut,46.99,14,6.05
2019,2,Córdoba,68.07,21,18.43
2019,2,Corrientes,38.16,10,13.83
2019,2,Entre Ríos,57.48,17,12.19
2019,2,Formosa,30.42,8,10.84
2019,2,Jujuy,44.51,11,12.07
2019,2,La Pampa,77.08,25,5.49
2019,2,La Rioja,48.7,13,7.89
2019,2,Mendoza,40.75,11,6.03
2019,2,Misiones,39.15,11,14.5
2019,2,Neuquén,63.08,19,17.24
2019,2,Río Negro,61.09,19,11.63
2019,2,Salta,41.89,10,12.55
2019,2,San Juan,35.6,9,6.12
2019,2,San Luis,81.79,23,19.88
2019,2,Santa Cruz,28.85,9,6.01
2019,2,Santa Fe,67.42,21,15.07
2019,2,Santiago Del Estero,52.79,13,7.1
2019,2,Tierra Del Fuego,94.8,28,6.34
2019,2,Tucumán,40.14,10,18.53
2019,1,Buenos Aires,66.24,22,19.64
2019,1,Capital Federal,109.2,46,24.72
2019,1,Catamarca,32.19,8,7.96
2019,1,Chaco,32.64,9,13.44
2019,1,Chubut,43.0,13,5.89
2019,1,Córdoba,65.52,20,15.73
2019,1,Corrientes,35.13,9,12.05
2019,1,Entre Ríos,56.79,17,10.66
2019,1,Formosa,29.68,8,9.83
2019,1,Jujuy,46.41,12,8.56
2019,1,La Pampa,76.35,25,5.06
2019,1,La Rioja,50.18,13,7.09
2019,1,Mendoza,37.66,11,5.74
2019,1,Misiones,36.26,10,12.51
2019,1,Neuquén,58.88,18,15.88
2019,1,Río Negro,53.57,16,10.49
2019,1,Salta,40.1,10,10.38
2019,1,San Juan,31.83,8,5.84
2019,1,San Luis,67.34,19,8.71
2019,1,Santa Cruz,23.67,7,5.78
2019,1,Santa Fe,66.97,21,12.99
2019,1,Santiago Del Estero,37.52,9,6.42
2019,1,Tierra Del Fuego,93.38,28,6.34
2019,1,Tucumán,41.63,10,16.57
2018,4,Buenos Aires,64.6,21,16.93
2018,4,Capital Federal,108.27,45,22.94
2018,4,Catamarca,32.23,8,8.04
2018,4,Chaco,32.59,9,13.49
2018,4,Chubut,42.61,13,6.09
2018,4,Córdoba,65.09,20,15.81
