Año,Trimestre,Provincia,Tipo Conexion,Accesos
2020,3,Chubut,ADSL,45761
2020,3,Córdoba,ADSL,276360
2020,3,Corrientes,ADSL,50858
2020,3,Entre Ríos,ADSL,87892
2020,3,Formosa,ADSL,21790
2020,3,Jujuy,ADSL,32611
2020,3,La Pampa,ADSL,9015
2020,3,La Rioja,ADSL,17346
2020,3,Mendoza,ADSL,91908
2020,3,Misiones,ADSL,50195
2020,3,Neuquén,ADSL,30222
2020,3,Río Negro,ADSL,49530
2020,3,Salta,ADSL,58216
2020,3,San Juan,ADSL,40092
2020,3,San Luis,ADSL,8401
2020,3,Santa Cruz,ADSL,12845
2020,3,Santa Fe,ADSL,295051
2020,3,Santiago Del Estero,ADSL,26419
2020,3,Tierra Del Fuego,ADSL,12854
2020,3,Tucumán,ADSL,149605
2020,2,Buenos Aires,ADSL,661272
2020,2,Capital Federal,ADSL,178896
2020,2,Catamarca,ADSL,26968
2020,2,Chaco,ADSL,46816
2020,2,Chubut,ADSL,45761
2020,2,Córdoba,ADSL,282858
2020,2,Corrientes,ADSL,51248
2020,2,Entre Ríos,ADSL,89391
2020,2,Formosa,ADSL,21805
2020,2,Jujuy,ADSL,32705
2020,2,La Pampa,ADSL,8551
2020,2,La Rioja,ADSL,16885
2020,2,Mendoza,ADSL,91904
2020,2,Misiones,ADSL,50792
2020,2,Neuquén,ADSL,30256
2020,2,Río Negro,ADSL,49756
2020,2,Salta,ADSL,59502
2020,2,San Juan,ADSL,40092
2020,2,San Luis,ADSL,8401
2020,2,Santa Cruz,ADSL,12845
2020,2,Santa Fe,ADSL,299974
2020,2,Santiago Del Estero,ADSL,25917
2020,2,Tierra Del Fuego,ADSL,12854
2020,2,Tucumán,ADSL,150084
2020,1,Buenos Aires,ADSL,673237
2020,1,Capital Federal,ADSL,184494
2020,1,Catamarca,ADSL,21945
2020,1,Chaco,ADSL,46356
2020,1,Chubut,ADSL,45763
2020,1,Córdoba,ADSL,286168
2020,1,Corrientes,ADSL,51126
2020,1,Entre Ríos,ADSL,90368
2020,1,Formosa,ADSL,21068
2020,1,Jujuy,ADSL,32066
2020,1,La Pampa,ADSL,8553
2020,1,La Rioja,ADSL,13076
2020,1,Mendoza,ADSL,91955
2020,1,Misiones,ADSL,51458
2020,1,Neuquén,ADSL,29305
2020,1,Río Negro,ADSL,47756
2020,1,Salta,ADSL,60426
2020,1,San Juan,ADSL,40092
2020,1,San Luis,ADSL,8301
2020,1,Santa Cruz,ADSL,12845
2020,1,Santa Fe,ADSL,302366
2020,1,Santiago Del Estero,ADSL,24695
2020,1,Tierra Del Fuego,ADSL,12854
2020,1,Tucumán,ADSL,143184
2019,4,Buenos Aires,ADSL,720011
2019,4,Capital Federal,ADSL,196938
2019,4,Catamarca,ADSL,22999
2019,4,Chaco,ADSL,48661
2019,4,Chubut,ADSL,47045
2019,4,Córdoba,ADSL,296872
2019,4,Corrientes,ADSL,52525
2019,4,Entre Ríos,ADSL,92981
2019,4,Formosa,ADSL,21567
2019,4,Jujuy,ADSL,32949
2019,4,La Pampa,ADSL,15457
2019,4,La Rioja,ADSL,13738
2019,4,Mendoza,ADSL,96678
2019,4,Misiones,ADSL,53116
2019,4,Neuquén,ADSL,29826
2019,4,Río Negro,ADSL,49747
2019,4,Salta,ADSL,63272
2019,4,San Juan,ADSL,41360
2019,4,San Luis,ADSL,8569
2019,4,Santa Cruz,ADSL,13264
2019,4,Santa Fe,ADSL,312072
2019,4,Santiago Del Estero,ADSL,24682
2019,4,Tierra Del Fuego,ADSL,13261
2019,4,Tucumán,ADSL,146985
2019,3,Buenos Aires,ADSL,1277249
2019,3,Capital Federal,ADSL,300288
2019,3,Catamarca,ADSL,24349
2019,3,Chaco,ADSL,50416
2019,3,Chubut,ADSL,37298
2019,3,Córdoba,ADSL,307780
2019,3,Corrientes,ADSL,53344
