Año,Trimestre,Provincia,Rango Velocidad,Accesos
2020,3,Neuquén,HASTA 512 kbps,218
2020,3,Río Negro,HASTA 512 kbps,114
2020,3,Salta,HASTA 512 kbps,129
2020,3,San Juan,HASTA 512 kbps,48
2020,3,San Luis,HASTA 512 kbps,105
2020,3,Santa Cruz,HASTA 512 kbps,66
2020,3,Santa Fe,HASTA 512 kbps,568
2020,3,Santiago Del Estero,HASTA 512 kbps,133
2020,3,Tierra Del Fuego,HASTA 512 kbps,11
2020,3,Tucumán,HASTA 512 kbps,52
2020,2,Buenos Aires,HASTA 512 kbps,37542
2020,2,Capital Federal,HASTA 512 kbps,264
2020,2,Catamarca,HASTA 512 kbps,63
2020,2,Chaco,HASTA 512 kbps,308
2020,2,Chubut,HASTA 512 kbps,158
2020,2,Córdoba,HASTA 512 kbps,168
2020,2,Corrientes,HASTA 512 kbps,72
2020,2,Entre Ríos,HASTA 512 kbps,130
2020,2,Formosa,HASTA 512 kbps,391
2020,2,Jujuy,HASTA 512 kbps,55
2020,2,La Pampa,HASTA 512 kbps,293
2020,2,La Rioja,HASTA 512 kbps,21
2020,2,Mendoza,HASTA 512 kbps,58
2020,2,Misiones,HASTA 512 kbps,71
2020,2,Neuquén,HASTA 512 kbps,218
2020,2,Río Negro,HASTA 512 kbps,114
2020,2,Salta,HASTA 512 kbps,129
2020,2,San Juan,HASTA 512 kbps,48
2020,2,San Luis,HASTA 512 kbps,105
2020,2,Santa Cruz,HASTA 512 kbps,66
2020,2,Santa Fe,HASTA 512 kbps,568
2020,2,Santiago Del Estero,HASTA 512 kbps,133
2020,2,Tierra Del Fuego,HASTA 512 kbps,11
2020,2,Tucumán,HASTA 512 kbps,52
2020,1,Buenos Aires,HASTA 512 kbps,38215
2020,1,Capital Federal,HASTA 512 kbps,264
2020,1,Catamarca,HASTA 512 kbps,63
2020,1,Chaco,HASTA 512 kbps,308
2020,1,Chubut,HASTA 512 kbps,158
2020,1,Córdoba,HASTA 512 kbps,142
2020,1,Corrientes,HASTA 512 kbps,72
2020,1,Entre Ríos,HASTA 512 kbps,130
2020,1,Formosa,HASTA 512 kbps,1127
2020,1,Jujuy,HASTA 512 kbps,55
2020,1,La Pampa,HASTA 512 kbps,293
2020,1,La Rioja,HASTA 512 kbps,21
2020,1,Mendoza,HASTA 512 kbps,58
2020,1,Misiones,HASTA 512 kbps,71
2020,1,Neuquén,HASTA 512 kbps,218
2020,1,Río Negro,HASTA 512 kbps,114
2020,1,Salta,HASTA 512 kbps,129
2020,1,San Juan,HASTA 512 kbps,48
2020,1,San Luis,HASTA 512 kbps,105
2020,1,Santa Cruz,HASTA 512 kbps,67
2020,1,Santa Fe,HASTA 512 kbps,696
2020,1,Santiago Del Estero,HASTA 512 kbps,133
2020,1,Tierra Del Fuego,HASTA 512 kbps,11
2020,1,Tucumán,HASTA 512 kbps,52
2019,4,Buenos Aires,HASTA 512 kbps,33489
2019,4,Capital Federal,HASTA 512 kbps,307
2019,4,Catamarca,HASTA 512 kbps,63
2019,4,Chaco,HASTA 512 kbps,83
2019,4,Chubut,HASTA 512 kbps,158
2019,4,Córdoba,HASTA 512 kbps,142
2019,4,Corrientes,HASTA 512 kbps,72
2019,4,Entre Ríos,HASTA 512 kbps,47
2019,4,Formosa,HASTA 512 kbps,1127
2019,4,Jujuy,HASTA 512 kbps,55
2019,4,La Pampa,HASTA 512 kbps,293
2019,4,La Rioja,HASTA 512 kbps,21
2019,4,Mendoza,HASTA 512 kbps,746
2019,4,Misiones,HASTA 512 kbps,71
2019,4,Neuquén,HASTA 512 kbps,218
2019,4,Río Negro,HASTA 512 kbps,114
2019,4,Salta,HASTA 512 kbps,149
2019,4,San Juan,HASTA 512 kbps,48
2019,4,San Luis,HASTA 512 kbps,105
2019,4,Santa Cruz,HASTA 512 kbps,67
2019,4,Santa Fe,HASTA 512 kbps,698
2019,4,Santiago Del Estero,HASTA 512 kbps,133
2019,4,Tierra Del Fuego,HASTA 512 kbps,11
2019,4,Tucumán,HASTA 512 kbps,55
2019,3,Buenos Aires,HASTA 512 kbps,238920
2019,3,Capital Federal,HASTA 512 kbps,104
2019,3,Catamarca,HASTA 512 kbps,34
2019,3,Chaco,HASTA 512 kbps,69
2019,3,Chubut,HASTA 512 kbps,74
2019,3,Córdoba,HASTA 512 kbps,83
2019,3,Corrientes,HASTA 512 kbps,10
2019,3,Entre Ríos,HASTA 512 kbps,19
2019,3,Formosa,HASTA 512 kbps,1110
2019,3,Jujuy,HASTA 512 kbps,27
2019,3,La Pampa,HASTA 512 kbps,237
2019,3,La Rioja,HASTA 512 kbps,9
2019,3,Mendoza,HASTA 512 kbps,21
2019,3,Misiones,HASTA 512 kbps,47
2019,3,Neuquén,HASTA 512 kbps,45
2019,3,Río Negro,HASTA 512 kbps,47
2019,3,Salta,HASTA 512 kbps,49
2019,3,San Juan,HASTA 512 kbps,22
